dose,filter,filename,snr,cnr,precision,recall,dice,exec_time_s
0.05,original,101.png,2.090400351765006,0.22347580754949042,0.14693074032090112,0.8433487416523826,0.2502603703609622,0.0001221999991685152
0.05,original,102.png,2.226879365637461,0.16914048444536645,0.2454700052775198,0.5325699745540298,0.33604945209328463,0.00014620000729337335
0.05,original,103.png,2.3048647189763964,0.14918054742669604,0.15394135326947847,0.7027556785417931,0.25255873699912984,0.00012690003495663404
0.05,original,104.png,2.342300497746774,0.48173368226658153,0.11885014896526322,0.5538461538454611,0.1957040572792363,0.00011530000483617187
0.05,original,105.png,2.3333127577169437,0.6244190474712391,0.23558360122227423,0.7852890593983526,0.36243741604591523,0.00021169998217374086
0.05,original,106.png,2.0087735219924303,0.4822843433322285,0.2546385156748211,0.5930561764258784,0.3562956000179043,0.00010170001769438386
0.05,original,107.png,2.2072627105440445,0.46136644966654394,0.27539695183459434,0.5899886234350512,0.37551138626407443,0.0004868999822065234
0.05,original,108.png,2.4171402022091777,0.18399261084813345,0.35191102123342693,0.6574731751544072,0.45844200321399403,0.0001477000187151134
0.05,original,109.png,2.200060237674888,0.2609468648334369,0.1646266829864586,0.5766820580465424,0.25613418296345125,0.0001230000052601099
0.05,original,11.png,2.1905857188188045,0.11526880585849433,0.12200922662536978,0.7893956247667976,0.21135184771548407,0.00017749995458871126
0.05,original,110.png,2.1912709534245702,0.04602410949323878,0.18009741661009307,0.7064941347191842,0.2870268012872479,0.00018179998733103275
0.05,original,112.png,2.282164603808632,0.3581221391539635,0.33549704021215127,0.8336376546958473,0.47844438622536606,0.00017849996220320463
0.05,original,113.png,2.01897496148913,0.2624294389063275,0.20333192333966638,0.6383043922363244,0.30841744194654885,0.00013350002700462937
0.05,original,114.png,2.3144090617531896,0.07185695238668013,0.12871170347650498,0.5596153846146672,0.20928727255292115,0.0001647999742999673
0.05,original,115.png,2.249604493286104,0.3153209229236045,0.12007578747924527,0.7262454241592771,0.20607894499141902,0.0001284000463783741
0.05,original,116.png,2.267321258878695,0.3405151087348074,0.29478328575120955,0.7171360020195515,0.41781930547380813,0.00013920001219958067
0.05,original,117.png,2.0653922517513315,0.25643188013553203,0.30617621231324704,0.7542362696782187,0.4355459939623165,0.00015470001380890608
0.05,original,118.png,2.002203556871049,0.6116934436824594,0.2537796533780252,0.6831366493871367,0.37007826970185814,0.00015620002523064613
0.05,original,119.png,2.181310429342202,0.2791133006440979,0.3088339608226612,0.5267076121342577,0.38936470264506584,0.00010649999603629112
0.05,original,12.png,2.1056359796986137,0.0065219870283053346,0.10951756818064488,0.819502074687251,0.19321415866239772,0.00017229997320100665
0.05,original,120.png,2.172743250781133,0.49962091865133584,0.19199267012794183,0.6855358382069142,0.2999739718896408,0.00011109997285529971
0.05,original,121.png,1.7837816606988415,0.06112697828470991,0.47683235046314154,0.7383453484375294,0.5794493237782208,0.00019869999960064888
0.05,original,122.png,2.1962896814169723,0.49826909053450935,0.10680555100613551,0.7598850306837878,0.18728699980853916,0.00015090004308149219
0.05,original,123.png,1.7831242884612242,0.6105282137040325,0.14490587636729046,0.5950639853739944,0.23305886564721526,0.00011760002234950662
0.05,original,124.png,2.492299052267329,0.2578330950643615,0.4420168067219462,0.18686940457568077,0.2626847782660807,0.00016719999257475138
0.05,original,125.png,2.3193861265237046,0.45126555838814025,0.29331723910880425,0.654665686994055,0.4051227644740831,9.850005153566599e-05
0.05,original,126.png,2.4111152005444856,0.09218282493473494,0.11925486499968975,0.7630365377780011,0.20627157652474107,0.00022719998378306627
0.05,original,127.png,1.9402814973897637,0.2725307553610572,0.125862343029685,0.6595035815414635,0.21138341609269048,0.00017399998614564538
0.05,original,128.png,2.3356467221226223,0.46704443262004747,0.28511450381663844,0.7408614338328976,0.4117647058823529,0.00016729999333620071
0.05,original,129.png,2.4366389425231776,0.325819290669842,0.4663591405890926,0.6361317385632128,0.5381737962785345,0.00013510003918781877
0.05,original,13.png,2.074557317618378,0.09943035841810438,0.1608568170711187,0.6959126145160396,0.26131251653876686,0.00018800003454089165
0.05,original,130.png,2.3955702217739403,0.08812382636284424,0.19330855018582155,0.7369826435239426,0.3062805437589364,0.00014270003885030746
0.05,original,131.png,2.07890467224587,0.3258649160905533,0.3425824175821823,0.5077361563512747,0.4091207349081365,0.0001583000412210822
0.05,original,132.png,2.332774464187905,0.4656766711379679,0.5051881993894768,0.7602571953456564,0.6070162571812737,0.0001251999638043344
0.05,original,133.png,2.350490983490256,0.3726375586591569,0.1749555707449966,0.7879571481334959,0.2863343475926257,0.0001503999810665846
0.05,original,134.png,2.192514190407048,0.0441928373586273,0.23637820512805943,0.4708410067520309,0.31474414214781077,0.00011339999036863446
0.05,original,135.png,1.7658934476310988,0.24203941886870267,0.2425634824666495,0.6979819067493643,0.36001435750179467,0.00017289997776970267
